Heb	Eng
אבנכם	your m. pl. stone
אבנכן	your f. pl. stone
אבנו	his / its stone
אבנה	her / its stone
אבנם	their m. stone
אבנן	their f. stone
אבנינו	our stones
אבניך	your m. sg. stones
אבניכם	your m. pl. stones
אבניכן	your f. pl. stones
אבניו	his / its stones
אבניה	her / its stones
אבניהם	their m. stones
אבניהן	their f. stones
מאבן	I / you m. sg. / he / it petrify(-ies)
מאבנת	I / you f. sg. / she / it petrify(-ies)
מאבנים	we / you m. pl. / they m. petrify
מאבנות	we / you f. pl. / they f. petrify
אאבן	I will petrify
נאבן	we will petrify
תאבן	you m. sg. will petrify
תאבני	you f. sg. will petrify
תאבנו	you m. pl. will petrify
תאבנה	you f. pl. will petrify
תאבנו	you f. pl. will petrify
יאבן	he / it will petrify
תאבן	she / it will petrify
יאבנו	they m. will petrify
תאבנה	they f. will petrify
יאבנו	they f. will petrify
אבן!‏	(to a man) petrify!
אבני!‏	(to a woman) petrify!
אבנו!‏	(to men) petrify!
אבנה!‏	(to women) petrify!
אבנו!‏	(to women) petrify!
לאבן	to petrify
מאביס	I / you m. sg. / he / it feed(s)
מאביסה	I / you f. sg. / she / it feed(s)
מאביסים	we / you m. pl. / they m. feed
מאביסות	we / you f. pl. / they f. feed
האבסתי	I fed
האבסנו	we fed
האבסת	you m. sg. fed
האבסת	you f. sg. fed
האבסתם	you m. pl. fed
האבסתם	you m. pl. fed
האבסתן	you f. pl. fed
האבסתן	you f. pl. fed
האביס	he / it fed
האביסה	she / it fed
האביסו	they fed
אאביס	I will feed
נאביס	we will feed
תאביס	you m. sg. will feed
תאביסי	you f. sg. will feed
תאביסו	you m. pl. will feed
תאבסנה	you f. pl. will feed
תאביסו	you f. pl. will feed
יאביס	he / it will feed
תאביס	she / it will feed
יאביסו	they m. will feed
תאבסנה	they f. will feed
יאביסו	they f. will feed
האבס!‏	(to a man) feed!
האביסי!‏	(to a woman) feed!
האביסו!‏	(to men) feed!
האבסנה!‏	(to women) feed!
האביסו!‏	(to women) feed!
להאביס	to feed
האבסה	feeding
האבסות	feedings
האבסת	feeding of ...
האבסות	feedings of ...
האבסתי	my feeding
האבסתנו	our feeding
האבסתך	your m. sg. feeding
האבסתך	your f. sg. feeding
האבסתכם	your m. pl. feeding
האבסתכן	your f. pl. feeding
האבסתו	his / its feeding
האבסתה	her / its feeding
האבסתם	their m. feeding
האבסתן	their f. feeding
האבסותינו	our feedings
האבסותיך	your m. sg. feedings
האבסותיכם	your m. pl. feedings
האבסותיכן	your f. pl. feedings
האבסותיו	his / its feedings
האבסותיה	her / its feedings
האבסותיהם	their m. feedings
האבסותיהן	their f. feedings
נאבק	I / you m. sg. / he / it struggle(s)
נאבקת	I / you f. sg. / she / it struggle(s)
נאבקים	we / you m. pl. / they m. struggle
נאבקות	we / you f. pl. / they f. struggle
נאבקתי	I struggled
נאבקנו	we struggled
נאבקת	you m. sg. struggled
נאבקת	you f. sg. struggled
נאבקתם	you m. pl. struggled
נאבקתם	you m. pl. struggled
נאבקתן	you f. pl. struggled
נאבקתן	you f. pl. struggled
נאבק	he / it struggled
נאבקה	she / it struggled
נאבקו	they struggled
מאבק	strife
מאבקים	strifes
מאבק	strife of ...
מאבקי	strifes of ...
מאבקי	my strife
מאבקנו	our strife
מאבקך	your m. sg. strife
מאבקך	your f. sg. strife
מאבקכם	your m. pl. strife
מאבקכן	your f. pl. strife
מאבקו	his / its strife
מאבקה	her / its strife
מאבקם	their m. strife
מאבקן	their f. strife
מאבקינו	our strifes
מאבקיך	your m. sg. strifes
מאבקיכם	your m. pl. strifes
מאבקיכן	your f. pl. strifes
מאבקיו	his / its strifes
מאבקיה	her / its strifes
מאבקיהם	their m. strifes
מאבקיהן	their f. strifes
אבק	dust
אבקים	dusts
אבק	dust of ...
אבקי	dusts of ...
אבקי	my dust
אבקנו	our dust
אבקך	your m. sg. dust
אבקך	your f. sg. dust
אבקכם	your m. pl. dust
אבקכן	your f. pl. dust
אבקו	his / its dust
אבקה	her / its dust
אבקם	their m. dust
אבקן	their f. dust
אבקינו	our dusts
אבקיך	your m. sg. dusts
אבקיכם	your m. pl. dusts
אבקיכן	your f. pl. dusts
אבקיו	his / its dusts
אבקיה	her / its dusts
אבקיהם	their m. dusts
אבקיהן	their f. dusts
מתאבק	I / you m. sg. / he / it wrestle(s)
מתאבקת	I / you f. sg. / she / it wrestle(s)
מתאבקים	we / you m. pl. / they m. wrestle
מתאבקות	we / you f. pl. / they f. wrestle
התאבקתי	I wrestled
התאבקנו	we wrestled
התאבקת	you m. sg. wrestled
התאבקת	you f. sg. wrestled
התאבקתם	you m. pl. wrestled
התאבקתם	you m. pl. wrestled
התאבקתן	you f. pl. wrestled
התאבקתן	you f. pl. wrestled
התאבק	he / it wrestled
התאבקה	she / it wrestled
התאבקו	they wrestled
אתאבק	I will wrestle
נתאבק	we will wrestle
תתאבק	you m. sg. will wrestle
תתאבקי	you f. sg. will wrestle
תתאבקו	you m. pl. will wrestle
תתאבקנה	you f. pl. will wrestle
תתאבקו	you f. pl. will wrestle
יתאבק	he / it will wrestle
תתאבק	she / it will wrestle
יתאבקו	they m. will wrestle
תתאבקנה	they f. will wrestle
יתאבקו	they f. will wrestle
התאבק!‏	(to a man) wrestle!
התאבקי!‏	(to a woman) wrestle!
התאבקו!‏	(to men) wrestle!
התאבקנה!‏	(to women) wrestle!
התאבקו!‏	(to women) wrestle!
