Heb	Eng
געגועיה	her / its yearning
געגועיהם	their m. yearning
געגועיהן	their f. yearning
גועה	I / you m. sg. / he / it moo(es)
גועה	I / you f. sg. / she / it moo(es)
גועים	we / you m. pl. / they m. moo
גועות	we / you f. pl. / they f. moo
געיתי	I mooed
געינו	we mooed
געית	you m. sg. mooed
געית	you f. sg. mooed
געיתם	you m. pl. mooed
געיתם	you m. pl. mooed
געיתן	you f. pl. mooed
געיתן	you f. pl. mooed
געה	he / it mooed
געתה	she / it mooed
געו	they mooed
אגעה	I will moo
נגעה	we will moo
תגעה	you m. sg. will moo
תגעי	you f. sg. will moo
תגעו	you m. pl. will moo
תגעינה	you f. pl. will moo
תגעו	you f. pl. will moo
יגעה	he / it will moo
תגעה	she / it will moo
יגעו	they m. will moo
תגעינה	they f. will moo
יגעו	they f. will moo
געה!‏	(to a man) moo!
געי!‏	(to a woman) moo!
געו!‏	(to men) moo!
געינה!‏	(to women) moo!
געו!‏	(to women) moo!
לגעות	to moo
מגעיל	I am / you m. sg. are / he / it is disgusting
מגעילה	I am / you f. sg. are / she / it is disgusting
מגעילים	we / you m. pl. / they m. are disgusting
מגעילות	we / you f. pl. / they f. are disgusting
הגעלתי	I was disgusting
הגעלנו	we were disgusting
הגעלת	you m. sg. were disgusting
הגעלת	you f. sg. were disgusting
הגעלתם	you m. pl. were disgusting
הגעלתם	you m. pl. were disgusting
הגעלתן	you f. pl. were disgusting
הגעלתן	you f. pl. were disgusting
הגעיל	he / it was disgusting
הגעילה	she / it was disgusting
הגעילו	they were disgusting
אגעיל	I will be disgusting
נגעיל	we will be disgusting
תגעיל	you m. sg. will be disgusting
תגעילי	you f. sg. will be disgusting
תגעילו	you m. pl. will be disgusting
תגעלנה	you f. pl. will be disgusting
תגעילו	you f. pl. will be disgusting
יגעיל	he / it will be disgusting
תגעיל	she / it will be disgusting
יגעילו	they m. will be disgusting
תגעלנה	they f. will be disgusting
יגעילו	they f. will be disgusting
הגעל!‏	(to a man) be disgusting!
הגעילי!‏	(to a woman) be disgusting!
הגעילו!‏	(to men) be disgusting!
הגעלנה!‏	(to women) be disgusting!
הגעילו!‏	(to women) be disgusting!
להגעיל	to be disgusting
גועל	I / you m. sg. / he / it loathe(s)
גועלת	I / you f. sg. / she / it loathe(s)
גועלים	we / you m. pl. / they m. loathe
גועלות	we / you f. pl. / they f. loathe
געלתי	I loathed
געלנו	we loathed
געלת	you m. sg. loathed
געלת	you f. sg. loathed
געלתם	you m. pl. loathed
געלתם	you m. pl. loathed
געלתן	you f. pl. loathed
געלתן	you f. pl. loathed
געל	he / it loathed
געלה	she / it loathed
געלו	they loathed
אגעל	I will loathe
נגעל	we will loathe
תגעל	you m. sg. will loathe
תגעלי	you f. sg. will loathe
תגעלו	you m. pl. will loathe
תגעלנה	you f. pl. will loathe
תגעלו	you f. pl. will loathe
יגעל	he / it will loathe
תגעל	she / it will loathe
יגעלו	they m. will loathe
תגעלנה	they f. will loathe
יגעלו	they f. will loathe
געל!‏	(to a man) loathe!
געלי!‏	(to a woman) loathe!
געלו!‏	(to men) loathe!
געלנה!‏	(to women) loathe!
געלו!‏	(to women) loathe!
גוער	I / you m. sg. / he / it scold(s)
גוערת	I / you f. sg. / she / it scold(s)
גוערים	we / you m. pl. / they m. scold
גוערות	we / you f. pl. / they f. scold
גערתי	I scolded
גערנו	we scolded
גערת	you m. sg. scolded
גערת	you f. sg. scolded
גערתם	you m. pl. scolded
גערתם	you m. pl. scolded
גערתן	you f. pl. scolded
גערתן	you f. pl. scolded
גער	he / it scolded
גערה	she / it scolded
גערו	they scolded
אגער	I will scold
נגער	we will scold
תגער	you m. sg. will scold
תגערי	you f. sg. will scold
תגערו	you m. pl. will scold
תגערנה	you f. pl. will scold
תגערו	you f. pl. will scold
יגער	he / it will scold
תגער	she / it will scold
יגערו	they m. will scold
תגערנה	they f. will scold
יגערו	they f. will scold
גער!‏	(to a man) scold!
גערי!‏	(to a woman) scold!
גערו!‏	(to men) scold!
גערנה!‏	(to women) scold!
גערו!‏	(to women) scold!
גערה	reprimand
גערות	reprimands
גערת	reprimand of ...
גערות	reprimands of ...
גערתי	my reprimand
גערתנו	our reprimand
גערתך	your m. sg. reprimand
גערתך	your f. sg. reprimand
גערתכם	your m. pl. reprimand
גערתכן	your f. pl. reprimand
גערתו	his / its reprimand
גערתה	her / its reprimand
גערתם	their m. reprimand
גערתן	their f. reprimand
גערותינו	our reprimands
גערותיך	your m. sg. reprimands
גערותיכם	your m. pl. reprimands
גערותיכן	your f. pl. reprimands
גערותיו	his / its reprimands
גערותיה	her / its reprimands
גערותיהם	their m. reprimands
גערותיהן	their f. reprimands
געשיות	volcanism
געשיות	volcanism of ...
געשיותי	my volcanism
געשיותנו	our volcanism
געשיותך	your m. sg. volcanism
געשיותך	your f. sg. volcanism
געשיותכם	your m. pl. volcanism
געשיותכן	your f. pl. volcanism
געשיותו	his / its volcanism
געשיותה	her / its volcanism
געשיותם	their m. volcanism
געשיותן	their f. volcanism
גועש	I / you m. sg. / he / it surge(s)
גועשת	I / you f. sg. / she / it surge(s)
גועשים	we / you m. pl. / they m. surge
גועשות	we / you f. pl. / they f. surge
געשתי	I surged
געשנו	we surged
געשת	you m. sg. surged
געשת	you f. sg. surged
געשתם	you m. pl. surged
געשתם	you m. pl. surged
געשתן	you f. pl. surged
געשתן	you f. pl. surged
געש	he / it surged
געשה	she / it surged
געשו	they surged
אגעש	I will surge
נגעש	we will surge
תגעש	you m. sg. will surge
תגעשי	you f. sg. will surge
תגעשו	you m. pl. will surge
תגעשנה	you f. pl. will surge
תגעשו	you f. pl. will surge
יגעש	he / it will surge
תגעש	she / it will surge
יגעשו	they m. will surge
תגעשנה	they f. will surge
יגעשו	they f. will surge
געש!‏	(to a man) surge!
געשי!‏	(to a woman) surge!
געשו!‏	(to men) surge!
געשנה!‏	(to women) surge!
געשו!‏	(to women) surge!
מתגעש	I / you m. sg. / he / it become(s) stormy
מתגעשת	I / you f. sg. / she / it become(s) stormy
מתגעשים	we / you m. pl. / they m. become stormy
מתגעשות	we / you f. pl. / they f. become stormy
התגעשתי	I became stormy
התגעשנו	we became stormy
התגעשת	you m. sg. became stormy
התגעשת	you f. sg. became stormy
התגעשתם	you m. pl. became stormy
התגעשתם	you m. pl. became stormy
התגעשתן	you f. pl. became stormy
התגעשתן	you f. pl. became stormy
התגעש	he / it became stormy
התגעשה	she / it became stormy
התגעשו	they became stormy
אתגעש	I will become stormy
נתגעש	we will become stormy
תתגעש	you m. sg. will become stormy
תתגעשי	you f. sg. will become stormy
תתגעשו	you m. pl. will become stormy
תתגעשנה	you f. pl. will become stormy
תתגעשו	you f. pl. will become stormy
יתגעש	he / it will become stormy
תתגעש	she / it will become stormy
יתגעשו	they m. will become stormy
תתגעשנה	they f. will become stormy
יתגעשו	they f. will become stormy
התגעש!‏	(to a man) become stormy!
התגעשי!‏	(to a woman) become stormy!
התגעשו!‏	(to men) become stormy!
התגעשנה!‏	(to women) become stormy!
התגעשו!‏	(to women) become stormy!
להתגעש	to become stormy
געש	storm
געשים	storms
געש	storm of ...
געשי	storms of ...
געשי	my storm
געשנו	our storm
געשך	your m. sg. storm
געשך	your f. sg. storm
געשכם	your m. pl. storm
געשכן	your f. pl. storm
געשו	his / its storm
געשה	her / its storm
געשם	their m. storm
געשן	their f. storm
געשינו	our storms
געשיך	your m. sg. storms
געשיכם	your m. pl. storms
געשיכן	your f. pl. storms
געשיו	his / its storms
געשיה	her / its storms
געשיהם	their m. storms
געשיהן	their f. storms
געשי	volcanic
געשית	volcanic
געשיים	volcanic
געשיות	volcanic
גף	limb
גף	limb of ...
גפי	limbs of ...
גפי	my limb
גפנו	our limb
גפך	your m. sg. limb
גפך	your f. sg. limb
גפכם	your m. pl. limb
גפכן	your f. pl. limb
גפו	his / its limb
גפה	her / its limb
גפם	their m. limb
גפן	their f. limb
גפינו	our limbs
גפיך	your m. sg. limbs
גפיכם	your m. pl. limbs
גפיכן	your f. pl. limbs
גפיו	his / its limbs
גפיה	her / its limbs
גפיהם	their m. limbs
גפיהן	their f. limbs
גפן	vine
גפנים	vines
גפן	vine of ...
גפני	vines of ...
גפני	my vine
גפננו	our vine
גפנך	your m. sg. vine
גפנך	your f. sg. vine
גפנכם	your m. pl. vine
גפנכן	your f. pl. vine
גפנו	his / its vine
גפנה	her / its vine
גפנם	their m. vine
גפנן	their f. vine
גפנינו	our vines
גפניך	your m. sg. vines
גפניכם	your m. pl. vines
גפניכן	your f. pl. vines
גפניו	his / its vines
גפניה	her / its vines
גפניהם	their m. vines
גפניהן	their f. vines
מגפף	I / you m. sg. / he / it cuddle(s)
מגפפת	I / you f. sg. / she / it cuddle(s)
מגפפים	we / you m. pl. / they m. cuddle
מגפפות	we / you f. pl. / they f. cuddle
אגפף	I will cuddle
נגפף	we will cuddle
תגפף	you m. sg. will cuddle
תגפפי	you f. sg. will cuddle
תגפפו	you m. pl. will cuddle
תגפפנה	you f. pl. will cuddle
תגפפו	you f. pl. will cuddle
יגפף	he / it will cuddle
תגפף	she / it will cuddle
יגפפו	they m. will cuddle
תגפפנה	they f. will cuddle
יגפפו	they f. will cuddle
גפף!‏	(to a man) cuddle!
גפפי!‏	(to a woman) cuddle!
גפפו!‏	(to men) cuddle!
גפפנה!‏	(to women) cuddle!
גפפו!‏	(to women) cuddle!
לגפף	to cuddle
גורב	I / you m. sg. / he / it wear(s)
גורבת	I / you f. sg. / she / it wear(s)
גורבים	we / you m. pl. / they m. wear
גורבות	we / you f. pl. / they f. wear
גרבתי	I wore
גרבנו	we wore
גרבת	you m. sg. wore
גרבת	you f. sg. wore
גרבתם	you m. pl. wore
גרבתם	you m. pl. wore
גרבתן	you f. pl. wore
גרבתן	you f. pl. wore
גרב	he / it wore
גרבה	she / it wore
גרבו	they wore
תגרבי	you f. sg. will wear
תגרבו	you m. pl. will wear
יגרבו	they m. will wear
גרבי!‏	(to a woman) wear!
גרבו!‏	(to men) wear!
גרב	sock
גרב	sock of ...
גרבי	socks of ...
גרבי	my sock
גרבנו	our sock
גרבך	your m. sg. sock
גרבך	your f. sg. sock
גרבכם	your m. pl. sock
גרבכן	your f. pl. sock
גרבו	his / its sock
גרבה	her / its sock
גרבם	their m. sock
גרבן	their f. sock
גרבינו	our socks
גרביך	your m. sg. socks
גרביכם	your m. pl. socks
גרביכן	your f. pl. socks
גרביו	his / its socks
גרביה	her / its socks
גרביהם	their m. socks
גרביהן	their f. socks
מגרגר	I / you m. sg. / he / it gargle(s)
מגרגרת	I / you f. sg. / she / it gargle(s)
מגרגרים	we / you m. pl. / they m. gargle
מגרגרות	we / you f. pl. / they f. gargle
גרגרתי	I gargled
גרגרנו	we gargled
גרגרת	you m. sg. gargled
גרגרת	you f. sg. gargled
גרגרתם	you m. pl. gargled
גרגרתם	you m. pl. gargled
גרגרתן	you f. pl. gargled
גרגרתן	you f. pl. gargled
גרגר	he / it gargled
גרגרה	she / it gargled
גרגרו	they gargled
אגרגר	I will gargle
נגרגר	we will gargle
תגרגר	you m. sg. will gargle
תגרגרי	you f. sg. will gargle
תגרגרו	you m. pl. will gargle
תגרגרנה	you f. pl. will gargle
תגרגרו	you f. pl. will gargle
יגרגר	he / it will gargle
תגרגר	she / it will gargle
יגרגרו	they m. will gargle
תגרגרנה	they f. will gargle
יגרגרו	they f. will gargle
גרגר!‏	(to a man) gargle!
גרגרי!‏	(to a woman) gargle!
גרגרו!‏	(to men) gargle!
גרגרנה!‏	(to women) gargle!
גרגרו!‏	(to women) gargle!
לגרגר	to gargle
גרגר	grain
גרגרים	grains
גרגר	grain of ...
גרגרי	grains of ...
גרגרי	my grain
גרגרנו	our grain
גרגרך	your m. sg. grain
גרגרך	your f. sg. grain
גרגרכם	your m. pl. grain
גרגרכן	your f. pl. grain
גרגרו	his / its grain
גרגרה	her / its grain
גרגרם	their m. grain
גרגרן	their f. grain
גרגרינו	our grains
גרגריך	your m. sg. grains
גרגריכם	your m. pl. grains
גרגריכן	your f. pl. grains
גרגריו	his / its grains
גרגריה	her / its grains
גרגריהם	their m. grains
גרגריהן	their f. grains
גרגרי	granular, consisting of grains
גרגרית	granular, consisting of grains
גרגריים	granular, consisting of grains
גרגריות	granular, consisting of grains
מגרד	I / you m. sg. / he / it scratch(es)
מגרדת	I / you f. sg. / she / it scratch(es)
מגרדים	we / you m. pl. / they m. scratch
מגרדות	we / you f. pl. / they f. scratch
אגרד	I will scratch
נגרד	we will scratch
תגרד	you m. sg. will scratch
תגרדי	you f. sg. will scratch
תגרדו	you m. pl. will scratch
תגרדנה	you f. pl. will scratch
תגרדו	you f. pl. will scratch
יגרד	he / it will scratch
תגרד	she / it will scratch
יגרדו	they m. will scratch
תגרדנה	they f. will scratch
יגרדו	they f. will scratch
גרד!‏	(to a man) scratch!
גרדי!‏	(to a woman) scratch!
גרדו!‏	(to men) scratch!
גרדנה!‏	(to women) scratch!
גרדו!‏	(to women) scratch!
לגרד	to scratch
מתגרד	I / you m. sg. / he / it scratch(es) himself
מתגרדת	I / you f. sg. / she / it scratch(es) herself
מתגרדים	we / you m. pl. / they m. scratch themselves
מתגרדות	we / you f. pl. / they f. scratch themselves
התגרדתי	I scratched myself
התגרדנו	we scratched ourselves
התגרדת	you m. sg. scratched yourself
התגרדת	you f. sg. scratched yourself
התגרדתם	you m. pl. scratched yourselves
התגרדתם	you m. pl. scratched yourselves
התגרדתן	you f. pl. scratched yourselves
התגרדתן	you f. pl. scratched yourselves
התגרד	he / it scratched himself
התגרדה	she / it scratched herself
התגרדו	they scratched themselves
אתגרד	I will scratch myself
נתגרד	we will scratch ourselves
תתגרד	you m. sg. will scratch yourself
תתגרדי	you f. sg. will scratch yourself
תתגרדו	you m. pl. will scratch yourselves
תתגרדנה	you f. pl. will scratch yourselves
תתגרדו	you f. pl. will scratch yourselves
יתגרד	he / it will scratch himself
תתגרד	she / it will scratch herself
יתגרדו	they m. will scratch themselves
תתגרדנה	they f. will scratch themselves
יתגרדו	they f. will scratch themselves
התגרד!‏	(to a man) scratch yourself!
התגרדי!‏	(to a woman) scratch yourself!
התגרדו!‏	(to men) scratch yourselves!
התגרדנה!‏	(to women) scratch yourselves!
התגרדו!‏	(to women) scratch yourselves!
להתגרד	to scratch one's
גרוי	stimulus
גרויים	stimuluses
גרוי	stimulus of ...
גרויי	stimuluses of ...
גרויי	my stimulus
גרוינו	our stimulus
גרויך	your m. sg. stimulus
גרויך	your f. sg. stimulus
גרויכם	your m. pl. stimulus
גרויכן	your f. pl. stimulus
גרויו	his / its stimulus
גרויה	her / its stimulus
גרוים	their m. stimulus
גרוין	their f. stimulus
גרויי	my stimuluses
גרויינו	our stimuluses
גרוייך	your m. sg. stimuluses
גרוייך	your f. sg. stimuluses
גרוייכם	your m. pl. stimuluses
גרוייכן	your f. pl. stimuluses
גרוייו	his / its stimuluses
גרוייה	her / its stimuluses
גרוייהם	their m. stimuluses
גרוייהן	their f. stimuluses
גרון	larynx
גרונות	larynxes
גרון	larynx of ...
גרונות	larynxes of ...
גרוני	my larynx
גרוננו	our larynx
גרונך	your m. sg. larynx
גרונך	your f. sg. larynx
גרונכם	your m. pl. larynx
גרונכן	your f. pl. larynx
גרונו	his / its larynx
גרונה	her / its larynx
גרונם	their m. larynx
גרונן	their f. larynx
גרונותינו	our larynxes
גרונותיך	your m. sg. larynxes
גרונותיכם	your m. pl. larynxes
גרונותיכן	your f. pl. larynxes
גרונותיו	his / its larynxes
גרונותיה	her / its larynxes
גרונותיהם	their m. larynxes
גרונותיהן	their f. larynxes
גרוני	guttural, laryngeal, throaty
גרונית	guttural, laryngeal, throaty
גרוניים	guttural, laryngeal, throaty
גרוניות	guttural, laryngeal, throaty
גרוש	grush
גרושים	grushes
גרוש	grush of ...
גרושי	grushes of ...
גרושי	my grush
גרושנו	our grush
גרושך	your m. sg. grush
גרושך	your f. sg. grush
גרושכם	your m. pl. grush
גרושכן	your f. pl. grush
גרושו	his / its grush
גרושה	her / its grush
גרושם	their m. grush
גרושן	their f. grush
גרושינו	our grushes
גרושיך	your m. sg. grushes
גרושיכם	your m. pl. grushes
גרושיכן	your f. pl. grushes
גרושיו	his / its grushes
גרושיה	her / its grushes
גרושיהם	their m. grushes
גרושיהן	their f. grushes
מגרז	I / you m. sg. / he / it lubricate(s)
מגרזת	I / you f. sg. / she / it lubricate(s)
מגרזים	we / you m. pl. / they m. lubricate
מגרזות	we / you f. pl. / they f. lubricate
אגרז	I will lubricate
נגרז	we will lubricate
תגרז	you m. sg. will lubricate
תגרזי	you f. sg. will lubricate
תגרזו	you m. pl. will lubricate
תגרזנה	you f. pl. will lubricate
תגרזו	you f. pl. will lubricate
יגרז	he / it will lubricate
תגרז	she / it will lubricate
יגרזו	they m. will lubricate
תגרזנה	they f. will lubricate
יגרזו	they f. will lubricate
גרז!‏	(to a man) lubricate!
גרזי!‏	(to a woman) lubricate!
גרזו!‏	(to men) lubricate!
גרזנה!‏	(to women) lubricate!
גרזו!‏	(to women) lubricate!
לגרז	to lubricate
גרזן	axe
גרזן	axe of ...
מגרה	I / you m. sg. / he / it excite(s)
מגרה	I / you f. sg. / she / it excite(s)
מגרים	we / you m. pl. / they m. excite
מגרות	we / you f. pl. / they f. excite
אגרה	I will excite
נגרה	we will excite
תגרה	you m. sg. will excite
תגרי	you f. sg. will excite
תגרו	you m. pl. will excite
תגרינה	you f. pl. will excite
תגרו	you f. pl. will excite
יגרה	he / it will excite
תגרה	she / it will excite
יגרו	they m. will excite
תגרינה	they f. will excite
יגרו	they f. will excite
גרה!‏	(to a man) excite!
גרי!‏	(to a woman) excite!
גרו!‏	(to men) excite!
גרינה!‏	(to women) excite!
גרו!‏	(to women) excite!
לגרות	to excite
מתגרה	I / you m. sg. / he / it tease(s)
מתגרה	I / you f. sg. / she / it tease(s)
מתגרים	we / you m. pl. / they m. tease
מתגרות	we / you f. pl. / they f. tease
התגריתי	I teased
התגרינו	we teased
התגרית	you m. sg. teased
התגרית	you f. sg. teased
התגריתם	you m. pl. teased
התגריתם	you m. pl. teased
התגריתן	you f. pl. teased
התגריתן	you f. pl. teased
התגרה	he / it teased
התגרתה	she / it teased
התגרו	they teased
אתגרה	I will tease
נתגרה	we will tease
תתגרה	you m. sg. will tease
תתגרי	you f. sg. will tease
תתגרו	you m. pl. will tease
תתגרינה	you f. pl. will tease
תתגרו	you f. pl. will tease
יתגרה	he / it will tease
תתגרה	she / it will tease
יתגרו	they m. will tease
תתגרינה	they f. will tease
יתגרו	they f. will tease
התגרה!‏	(to a man) tease!
התגרי!‏	(to a woman) tease!
התגרו!‏	(to men) tease!
התגרינה!‏	(to women) tease!
התגרו!‏	(to women) tease!
להתגרות	to tease
אתגר	challenge
אתגרים	challenges
אתגר	challenge of ...
אתגרי	challenges of ...
אתגרי	my challenge
אתגרנו	our challenge
אתגרך	your m. sg. challenge
אתגרך	your f. sg. challenge
אתגרכם	your m. pl. challenge
אתגרכן	your f. pl. challenge
אתגרו	his / its challenge
אתגרה	her / its challenge
אתגרם	their m. challenge
אתגרן	their f. challenge
אתגרינו	our challenges
אתגריך	your m. sg. challenges
אתגריכם	your m. pl. challenges
אתגריכן	your f. pl. challenges
אתגריו	his / its challenges
אתגריה	her / its challenges
אתגריהם	their m. challenges
אתגריהן	their f. challenges
הגרלה	lottery
הגרלות	lotteries
הגרלת	lottery of ...
הגרלות	lotteries of ...
הגרלתי	my lottery
הגרלתנו	our lottery
הגרלתך	your m. sg. lottery
הגרלתך	your f. sg. lottery
הגרלתכם	your m. pl. lottery
הגרלתכן	your f. pl. lottery
הגרלתו	his / its lottery
הגרלתה	her / its lottery
הגרלתם	their m. lottery
הגרלתן	their f. lottery
הגרלותינו	our lotteries
הגרלותיך	your m. sg. lotteries
הגרלותיכם	your m. pl. lotteries
הגרלותיכן	your f. pl. lotteries
הגרלותיו	his / its lotteries
הגרלותיה	her / its lotteries
הגרלותיהם	their m. lotteries
הגרלותיהן	their f. lotteries
גורל	fate
גורלות	fates
גורל	fate of ...
גורלות	fates of ...
גורלי	my fate
גורלנו	our fate
גורלך	your m. sg. fate
גורלך	your f. sg. fate
גורלכם	your m. pl. fate
גורלכן	your f. pl. fate
גורלו	his / its fate
גורלה	her / its fate
גורלם	their m. fate
גורלן	their f. fate
גורלותינו	our fates
גורלותיך	your m. sg. fates
גורלותיכם	your m. pl. fates
גורלותיכן	your f. pl. fates
גורלותיו	his / its fates
גורלותיה	her / its fates
גורלותיהם	their m. fates
גורלותיהן	their f. fates
מגריל	I / you m. sg. / he / it cast(s) lots
מגרילה	I / you f. sg. / she / it cast(s) lots
מגרילים	we / you m. pl. / they m. cast lots
מגרילות	we / you f. pl. / they f. cast lots
הגרלתי	I cast lots
הגרלנו	we cast lots
הגרלת	you m. sg. cast lots
הגרלת	you f. sg. cast lots
הגרלתם	you m. pl. cast lots
הגרלתם	you m. pl. cast lots
הגרלתן	you f. pl. cast lots
הגרלתן	you f. pl. cast lots
הגריל	he / it cast lots
הגרילה	she / it cast lots
הגרילו	they cast lots
אגריל	I will cast lots
נגריל	we will cast lots
תגריל	you m. sg. will cast lots
תגרילי	you f. sg. will cast lots
תגרילו	you m. pl. will cast lots
תגרלנה	you f. pl. will cast lots
תגרילו	you f. pl. will cast lots
יגריל	he / it will cast lots
תגריל	she / it will cast lots
יגרילו	they m. will cast lots
תגרלנה	they f. will cast lots
יגרילו	they f. will cast lots
הגרל!‏	(to a man) cast lots!
הגרילי!‏	(to a woman) cast lots!
הגרילו!‏	(to men) cast lots!
הגרלנה!‏	(to women) cast lots!
הגרילו!‏	(to women) cast lots!
להגריל	to cast lots
נגרם	I am / you m. sg. are / he / it is caused
נגרמת	I am / you f. sg. are / she / it is caused
נגרמים	we / you m. pl. / they m. are caused
נגרמות	we / you f. pl. / they f. are caused
נגרמתי	I was caused
נגרמנו	we were caused
נגרמת	you m. sg. were caused
נגרמת	you f. sg. were caused
נגרמתם	you m. pl. were caused
נגרמתם	you m. pl. were caused
נגרמתן	you f. pl. were caused
נגרמתן	you f. pl. were caused
נגרם	he / it was caused
נגרמה	she / it was caused
נגרמו	they were caused
אגרם	I will be caused
גורם	I / you m. sg. / he / it cause(s)
גורמת	I / you f. sg. / she / it cause(s)
גורמים	we / you m. pl. / they m. cause
גורמות	we / you f. pl. / they f. cause
גרמתי	I caused
גרמנו	we caused
גרמת	you m. sg. caused
גרמת	you f. sg. caused
גרמתם	you m. pl. caused
גרמתם	you m. pl. caused
גרמתן	you f. pl. caused
גרמתן	you f. pl. caused
גרם	he / it caused
גרמה	she / it caused
גרמו	they caused
תגרמי	you f. sg. will cause
תגרמו	you m. pl. will cause
יגרמו	they m. will cause
גרמי!‏	(to a woman) cause!
גרמו!‏	(to men) cause!
נגרס	I am / you m. sg. are / he / it is shredded
נגרסת	I am / you f. sg. are / she / it is shredded
נגרסים	we / you m. pl. / they m. are shredded
נגרסות	we / you f. pl. / they f. are shredded
נגרסתי	I was shredded
נגרסנו	we were shredded
נגרסת	you m. sg. were shredded
נגרסת	you f. sg. were shredded
נגרסתם	you m. pl. were shredded
נגרסתם	you m. pl. were shredded
נגרסתן	you f. pl. were shredded
נגרסתן	you f. pl. were shredded
נגרס	he / it was shredded
נגרסה	she / it was shredded
נגרסו	they were shredded
אגרס	I will be shredded
גורס	I / you m. sg. / he / it hold(s) the view
גורסת	I / you f. sg. / she / it hold(s) the view
גורסים	we / you m. pl. / they m. hold the view
גורסות	we / you f. pl. / they f. hold the view
גרסתי	I held the view
גרסנו	we held the view
גרסת	you m. sg. held the view
גרסת	you f. sg. held the view
גרסתם	you m. pl. held the view
גרסתם	you m. pl. held the view
גרסתן	you f. pl. held the view
גרסתן	you f. pl. held the view
גרס	he / it held the view
גרסה	she / it held the view
גרסו	they held the view
תגרסי	you f. sg. will hold the view
תגרסו	you m. pl. will hold the view
יגרסו	they m. will hold the view
גרסי!‏	(to a woman) hold the view!
גרסו!‏	(to men) hold the view!
גורע	I / you m. sg. / he / it reduce(s)
גורעת	I / you f. sg. / she / it reduce(s)
גורעים	we / you m. pl. / they m. reduce
גורעות	we / you f. pl. / they f. reduce
גרעתי	I reduced
גרענו	we reduced
גרעת	you m. sg. reduced
גרעת	you f. sg. reduced
גרעתם	you m. pl. reduced
גרעתם	you m. pl. reduced
גרעתן	you f. pl. reduced
גרעתן	you f. pl. reduced
גרע	he / it reduced
גרעה	she / it reduced
גרעו	they reduced
אגרע	I will reduce
נגרע	we will reduce
תגרע	you m. sg. will reduce
תגרעי	you f. sg. will reduce
תגרעו	you m. pl. will reduce
תגרענה	you f. pl. will reduce
תגרעו	you f. pl. will reduce
יגרע	he / it will reduce
תגרע	she / it will reduce
יגרעו	they m. will reduce
תגרענה	they f. will reduce
יגרעו	they f. will reduce
גרע!‏	(to a man) reduce!
גרעי!‏	(to a woman) reduce!
גרעו!‏	(to men) reduce!
גרענה!‏	(to women) reduce!
גרעו!‏	(to women) reduce!
גרוע	bad, poor quality
גרועה	bad, poor quality
גרועים	bad, poor quality
גרועות	bad, poor quality
נגרע	I am / you m. sg. are / he / it is subtracted
נגרעת	I am / you f. sg. are / she / it is subtracted
נגרעים	we / you m. pl. / they m. are subtracted
נגרעות	we / you f. pl. / they f. are subtracted
נגרעתי	I was subtracted
נגרענו	we were subtracted
נגרעת	you m. sg. were subtracted
נגרעת	you f. sg. were subtracted
נגרעתם	you m. pl. were subtracted
נגרעתם	you m. pl. were subtracted
נגרעתן	you f. pl. were subtracted
נגרעתן	you f. pl. were subtracted
נגרע	he / it was subtracted
נגרעה	she / it was subtracted
נגרעו	they were subtracted
אגרע	I will be subtracted
אגרע	I will be subtracted
גרעין	kernel
גרעינים	kernels
גרעין	kernel of ...
גרעיני	kernels of ...
גרעיני	my kernel
גרעיננו	our kernel
גרעינך	your m. sg. kernel
גרעינך	your f. sg. kernel
גרעינכם	your m. pl. kernel
גרעינכן	your f. pl. kernel
גרעינו	his / its kernel
גרעינה	her / its kernel
גרעינם	their m. kernel
גרעינן	their f. kernel
גרעינינו	our kernels
גרעיניך	your m. sg. kernels
גרעיניכם	your m. pl. kernels
גרעיניכן	your f. pl. kernels
גרעיניו	his / its kernels
גרעיניה	her / its kernels
גרעיניהם	their m. kernels
גרעיניהן	their f. kernels
גרעיני	nuclear; central, essential
גרעינית	nuclear; central, essential
גרעיניים	nuclear; central, essential
גרעיניות	nuclear; central, essential
גורף	I / you m. sg. / he / it rake(s)
גורפת	I / you f. sg. / she / it rake(s)
גורפים	we / you m. pl. / they m. rake
גורפות	we / you f. pl. / they f. rake
גרפתי	I raked
גרפנו	we raked
גרפת	you m. sg. raked
גרפת	you f. sg. raked
גרפתם	you m. pl. raked
גרפתם	you m. pl. raked
גרפתן	you f. pl. raked
גרפתן	you f. pl. raked
גרף	he / it raked
גרפה	she / it raked
גרפו	they raked
תגרפי	you f. sg. will rake
תגרפו	you m. pl. will rake
יגרפו	they m. will rake
גרפי!‏	(to a woman) rake!
גרפו!‏	(to men) rake!
נגרף	I am / you m. sg. are / he / it is raked
נגרפת	I am / you f. sg. are / she / it is raked
נגרפים	we / you m. pl. / they m. are raked
נגרפות	we / you f. pl. / they f. are raked
נגרפתי	I was raked
נגרפנו	we were raked
נגרפת	you m. sg. were raked
נגרפת	you f. sg. were raked
נגרפתם	you m. pl. were raked
נגרפתם	you m. pl. were raked
נגרפתן	you f. pl. were raked
נגרפתן	you f. pl. were raked
נגרף	he / it was raked
נגרפה	she / it was raked
נגרפו	they were raked
אגרף	I will be raked
אגרוף	fist
אגרופים	fists
אגרוף	fist of ...
אגרופי	fists of ...
אגרופי	my fist
אגרופנו	our fist
אגרופך	your m. sg. fist
אגרופך	your f. sg. fist
אגרופכם	your m. pl. fist
אגרופכן	your f. pl. fist
